 ,Filename,DoseGroup,Dose_uC_cm2,Overall_Mean,Overall_StdDev,CV,Center_Mean,Center_StdDev,Corner_Mean,Corner_StdDev,Edge_Mean,Gradient_Ratio_C_C,Gradient_Ratio_C_E,Uniformity,Corner_TL,Corner_TR,Corner_BL,Corner_BR,Min,Max,Area_pixels
1,Dose_1000uC.tif,LowDose,1000,148.0144,22.9023,0.1547,177.3351,19.7608,141.6189,19.2625,153.4705,1.2522,1.1555,0.7986,140.3559,143.4722,141.2378,141.4097,79,246,13688
2,Dose_100uC.tif,LowDose,100,134.5879,18.1546,0.1349,135.0038,17.9081,134.0446,17.9944,134.633,1.0072,1.0028,0.9929,132.9222,132.5918,135.5089,135.1556,70,238,21600
3,Dose_1500uC.tif,LowDose,1500,161.0244,28.9454,0.1798,195.1864,20.4928,154.25,21.9362,175.0729,1.2654,1.1149,0.7903,155.2115,160.8935,149.7515,151.1435,76,253,16380
4,Dose_2000uC.tif,LowDose,2000,181.3309,26.2226,0.1446,191.7483,20.4291,187.1042,20.5283,189.4036,1.0248,1.0124,0.9758,188.7812,188.2917,187.1406,184.2031,78,251,15360
5,Dose_250uC.tif,LowDose,250,135.6881,18.1039,0.1334,137.2526,17.7896,135.0277,18.1696,136.3418,1.0165,1.0067,0.9838,134.7819,133.9719,135.537,135.8202,71,237,19312
6,Dose_500uC.tif,LowDose,500,137.4612,18.2673,0.1329,140.392,18.0872,137.1402,18.0571,138.0455,1.0237,1.017,0.9768,137.1346,137.2885,136.7278,137.4098,73,209,16896
7,Dose_10000uC.tif,HighDose,10000,161.1256,19.7197,0.1224,158.8125,19.3139,160.9097,19.7518,159.7756,0.987,0.994,0.9868,159.6076,162.1997,160.4878,161.3438,90,239,14042
8,Dose_15000uC.tif,HighDose,15000,147.6162,18.9289,0.1282,144.7483,18.6766,147.3763,18.884,145.4249,0.9822,0.9953,0.9818,148.4392,149.9878,145.3247,145.7535,83,230,14160
9,Dose_20000uC.tif,HighDose,20000,124.0793,18.4216,0.1485,123.5799,18.5817,123.2691,17.4265,123.3481,1.0025,1.0019,0.9975,126.7049,121.6719,126.7622,117.9375,57,220,14040
10,Dose_3000uC.tif,HighDose,3000,195.006,22.4816,0.1153,199.3767,21.2459,198.3416,20.5156,199.1059,1.0052,1.0014,0.9948,193.6372,201.3663,197.9462,200.4167,97,255,14399
11,Dose_5000uC.tif,HighDose,5000,191.9271,20.6513,0.1076,190.0677,19.6515,192.4861,19.8594,191.4688,0.9874,0.9927,0.9873,189.1476,195.7552,191.4219,193.6198,106,255,14280
12,Dose_7000uC.tif,HighDose,7000,179.6592,25.1702,0.1401,183.6441,21.4369,179.4175,21.02,173.224,1.0236,1.0602,0.977,151.1944,190.2951,183.6597,192.5208,91,254,14640
